Code,Party,Income level,GDP USD Mar 2025,Human Development Index 2022,Region Name,Sub-region Name,Least Developed Countries (LDC),Small Island Developing States (SIDS),OECD,Title,FileType,Language,Version,Status,SubmissionDate,EncodedAbsUrl,OriginalFilename,filename
SMR,San Marino,High income,,0.867,Europe,Southern Europe,0,0,0,San Marino First NDC,NDC,English,1,Active,2018-09-26,https://unfccc.int/sites/default/files/NDC/2022-06/SAN%20MARINO%20INDC%20EN.pdf,SAN MARINO INDC EN.pdf,San_Marino.txt
STP,Sao Tome and Principe,Lower middle income,678976264.8,0.613,Africa,Sub-Saharan Africa,0,1,0,Sao Tome and Principe First NDC (Updated submission),NDC,English,2,Active,2021-07-30,https://unfccc.int/sites/default/files/NDC/2022-06/Updated_NDC_STP_2021_EN_.pdf,Updated_NDC_STP_2021_EN_.pdf,Sao_Tome.txt
SAU,Saudi Arabia,High income,1067582933333,0.875,Asia,Western Asia,0,0,0,Saudi Arabia First NDC (Updated submission),NDC,English,2,Active,2021-10-23,https://unfccc.int/sites/default/files/resource/202203111154---KSA%20NDC%202021.pdf,202203111154---KSA NDC 2021.pdf,Saudi_Arabia.txt
SEN,Senegal,Lower middle income,30848333084,0.517,Africa,Sub-Saharan Africa,1,0,0,Senegal First NDC,NDC,French,1,Active,2020-12-29,https://unfccc.int/sites/default/files/NDC/2022-06/CDNSenegal%20approuv%C3%A9e-pdf-.pdf,CDNSenegal approuvée-pdf-.pdf,Senegal.txt
SRB,Serbia,Upper middle income,81342660752,0.805,Europe,Southern Europe,0,0,0,Updated NDC Serbia,NDC,English,2,Active,2022-08-24,https://unfccc.int/sites/default/files/NDC/2022-08/NDC%20Final_Serbia%20english.pdf,NDC Final_Serbia english.pdf,Serbia.txt
SYC,Seychelles,High income,2141450171,0.802,Africa,Sub-Saharan Africa,0,1,0,Seychelles First NDC (Updated submission),NDC,English,2,Active,2021-07-30,https://unfccc.int/sites/default/files/NDC/2022-06/Seychelles%20-%20NDC_Jul30th%202021%20_Final.pdf,Seychelles - NDC_Jul30th 2021 _Final.pdf,Seychelles.txt
SLE,Sierra Leone,Low income,6411869546,0.458,Africa,Sub-Saharan Africa,1,0,0,Sierra Leone First NDC (Updated submission),NDC,English,2,Active,2021-07-31,https://unfccc.int/sites/default/files/NDC/2022-06/210804%202125%20SL%20NDC%20%281%29.pdf,210804 2125 SL NDC (1).pdf,Sierra_Leone.txt
SGP,Singapore,High income,501427500080,0.949,Asia,South-eastern Asia,0,1,0,Singapore Second Nationally Determined Contribution,NDC,English,4,Active,2025-02-10,https://unfccc.int/sites/default/files/2025-02/Singapore%20Second%20Nationally%20Determined%20Contribution.pdf,Singapore Second Nationally Determined Contribution.pdf,Singapore.txt
SVK,Slovakia,High income,132908336234,0.855,Europe,Eastern Europe,0,0,1,EU NDC 2023 update,NDC,English,3,Active,2023-10-19,https://unfccc.int/sites/default/files/NDC/2023-10/ES-2023-10-17%20EU%20submission%20NDC%20update.pdf,ES-2023-10-17 EU submission NDC update.pdf,Slovakia.txt
SVN,Slovenia,High income,69148468417,0.926,Europe,Southern Europe,0,0,1,EU NDC 2023 update,NDC,English,3,Active,2023-10-19,https://unfccc.int/sites/default/files/NDC/2023-10/ES-2023-10-17%20EU%20submission%20NDC%20update.pdf,ES-2023-10-17 EU submission NDC update.pdf,Slovenia.txt
SLB,Solomon Islands,Lower middle income,1633319401,0.562,Oceania,Melanesia,1,1,0,Solomon Islands First NDC (Updated submission),NDC,English,2,Active,2021-07-19,https://unfccc.int/sites/default/files/NDC/2022-06/NDC%20Report%202021%20Final%20Solomon%20Islands%20%281%29.pdf,NDC Report 2021 Final Solomon Islands (1).pdf,Solomon_Islands.txt
SOM,Somalia,Low income,10968517090,0.380,Africa,Sub-Saharan Africa,1,0,0,Somalia First NDC (Updated submission),NDC,English,2,Active,2021-07-31,https://unfccc.int/sites/default/files/NDC/2022-06/Final%20Updated%20NDC%20for%20Somalia%202021.pdf,Final Updated NDC for Somalia 2021.pdf,Somalia.txt
ZAF,South Africa,Upper middle income,380699271815,0.717,Africa,Sub-Saharan Africa,0,0,0,South Africa First NDC (Updated submission),NDC,English,2,Active,2021-09-27,https://unfccc.int/sites/default/files/NDC/2022-06/South%20Africa%20updated%20first%20NDC%20September%202021.pdf,South Africa updated first NDC September 2021.pdf,South_Africa.txt
SSD,South Sudan,Low income,,0.381,Africa,Sub-Saharan Africa,1,0,0,South Sudan Second NDC,NDC,English,2,Active,2021-09-21,https://unfccc.int/sites/default/files/NDC/2022-06/South%20Sudan%27s%20Second%20Nationally%20Determined%20Contribution.pdf,South Sudan's Second Nationally Determined Contribution.pdf,South_Sudan.txt
ESP,Spain,High income,1620090734957,0.911,Europe,Southern Europe,0,0,1,EU NDC 2023 update,NDC,English,3,Active,2023-10-19,https://unfccc.int/sites/default/files/NDC/2023-10/ES-2023-10-17%20EU%20submission%20NDC%20update.pdf,ES-2023-10-17 EU submission NDC update.pdf,Spain.txt
LKA,Sri Lanka,Lower middle income,84356863744,0.780,Asia,Southern Asia,0,0,0,Sri Lanka First NDC (Updated submission),NDC,English,3,Active,2021-09-24,https://unfccc.int/sites/default/files/NDC/2022-06/Amendmend%20to%20the%20Updated%20Nationally%20Determined%20Contributions%20of%20Sri%20Lanka.pdf,Amendmend to the Updated Nationally Determined Contributions of Sri Lanka.pdf,Sri_Lanka.txt
PSE,State of Palestine,Lower middle income,17420800000,0.716,Asia,Western Asia,0,0,0,State of Palestine First NDC (Updated submission),NDC,English,2,Active,2021-10-10,https://unfccc.int/sites/default/files/NDC/2022-06/Updated%20NDC_%20State%20of%20Palestine_2021_FINAL.pdf,Updated NDC_ State of Palestine_2021_FINAL.pdf,Palestine.txt
